ano,id_municipio,conta,valor,perc
2022,1100155,Saúde,32532285.85,24.903899218186567
2022,1100320,Saúde,23841211.96,23.934898021608326
2022,1100940,Saúde,15942901.82,19.44854757487687
2022,1100452,Saúde,26004565.5,23.11538692001143
2022,1100601,Saúde,9310890.8,25.084055295135023
2022,1101468,Saúde,9499158.87,26.82114997071214
2022,1100403,Saúde,15439380.15,20.748041734307023
2022,1101435,Saúde,6219143.1,22.97495137147019
2022,1101807,Saúde,8915742.85,24.205250711799803
2022,1100130,Saúde,29548184.92,22.559923185026452
2022,1100098,Saúde,24847065.04,25.080029782489195
2022,1100049,Saúde,73401790.82,24.0684300401462
2022,1101104,Saúde,9947946.39,18.40501282652034
2022,1100106,Saúde,35675987.1,28.056634163568784
2022,1100304,Saúde,112541813.09,28.990254049547925
2022,1100502,Saúde,10316837.73,26.08449837600737
2022,1101401,Saúde,17432669.03,27.035591581232072
2022,1101708,Saúde,12855514.05,24.34339297162121
2022,1101484,Saúde,9699882.29,27.459302311966788
2022,1101500,Saúde,15018600.58,27.38087436180306
2022,1100254,Saúde,21648951.44,25.6337071298922
2022,1100700,Saúde,14590551.57,25.733137566833314
2022,1101005,Saúde,9694176.88,23.604741172224557
2022,1100262,Saúde,7787399.18,23.810869200929137
2022,1100072,Saúde,10721850.29,24.482501396192816
2022,1101492,Saúde,16903752.29,24.229621755048548
2022,1101476,Saúde,5579510.67,20.97617690087343
2022,1100338,Saúde,26076498.94,24.137626513299587
2022,1100924,Saúde,19417913.54,25.740134486921235
2022,1100023,Saúde,109819625.4,29.99372035787433
2022,2803401,Saúde,11399126.45,17.078144663554117
2022,2803005,Saúde,29726128.15,21.234532692805683
2022,2803807,Saúde,5075367.57,19.511873027535273
2022,2805109,Saúde,9198045.98,26.209813549410537
2022,2805307,Saúde,9893301.03,22.696509505467326
2022,2800670,Saúde,18063069.25,23.147817102968613
2022,2806305,Saúde,13180697.05,18.587225402845846
2022,2807105,Saúde,26114679.21,21.466724241026927
2022,2807303,Saúde,4818054.78,20.35983134212277
2022,2803609,Saúde,34350497.68,22.258531846553804
2022,2802809,Saúde,15068900.66,17.276866430989447
2022,2807501,Saúde,8718679.07,19.977833700850596
2022,2804458,Saúde,7727961.97,22.991508176165357
2022,2801207,Saúde,46668025.86,24.474568736231383
2022,2806206,Saúde,13467197.76,20.234856075201886
2022,2802403,Saúde,9603019.72,20.746364791586725
2022,2803203,Saúde,30423877.11,21.00400828536223
2022,2802304,Saúde,12085284.06,22.312261459018508
2022,2807600,Saúde,16353248.09,18.88122920623967
2022,2806107,Saúde,15908083.29,19.289249568008678
2022,2801009,Saúde,14725713.84,23.199569891088352
2022,2802601,Saúde,6385793.86,23.14090444127903
2022,2800100,Saúde,4327509.03,19.05387733825613
2022,2800209,Saúde,17490438.12,22.919681561245003
2022,2801108,Saúde,5188560.15,20.1689096455719
2022,2805505,Saúde,16608627.67,23.283916278467647
2022,2801504,Saúde,18091052.14,20.386979037216108
2022,2801405,Saúde,11606995.22,15.66298363188294
2022,2801702,Saúde,16457957.59,20.14061347857309
2022,2804706,Saúde,6700568.57,25.022253510695936
2022,2802908,Saúde,80800810.53,28.184152240927133
2022,2805703,Saúde,23958057.91,28.239386681070727
2022,2805406,Saúde,24022292.08,22.092420623973837
2022,2800308,Saúde,552725825.34,25.07453462869711
2022,2802106,Saúde,56128295.32,21.49360012496842
2022,2805802,Saúde,13380951.74,19.301781727514356
2022,2804508,Saúde,25286686.48,18.503377371213062
2022,2806909,Saúde,4801705.78,19.775234771758043
2022,2802205,Saúde,7109764.54,24.704005986086603
2022,2803708,Saúde,8003015.95,25.505338750581696
2022,2804003,Saúde,18798711.57,24.069636233282854
2022,2804300,Saúde,7528276.94,19.762991057074373
2022,2800605,Saúde,33145574.13,20.082812761150524
2022,2804102,Saúde,9591307.59,22.788972958243505
2022,2802502,Saúde,6203316.8,17.907022420607802
2022,2807204,Saúde,12048278.36,24.399560781924226
2022,2802700,Saúde,8140559.58,17.75139086837273
